version,num_workers,a,b,epsilon,threshold,time_secs
0,1,-10000,4000000,0.0001,0,199.95819
0,1,-10000,4000000,0.0001,0,199.79802
0,1,-10000,4000000,0.0001,0,199.91031
0,1,-10000,4000000,0.0001,0,199.92708
0,1,-10000,4000000,0.0001,0,200.01903
0,1,-10000,4000000,0.0001,0,200.02263
1,1,-10000,4000000,0.0001,1500,199.38838
1,1,-10000,4000000,0.0001,1500,199.51497
1,1,-10000,4000000,0.0001,1500,199.46204
1,1,-10000,4000000,0.0001,1500,199.47325
1,1,-10000,4000000,0.0001,1500,199.4778
1,1,-10000,4000000,0.0001,1500,199.48296
1,2,-10000,4000000,0.0001,1500,99.6205
1,2,-10000,4000000,0.0001,1500,99.61315
1,2,-10000,4000000,0.0001,1500,99.63562
1,2,-10000,4000000,0.0001,1500,99.631355
1,2,-10000,4000000,0.0001,1500,99.77901
1,2,-10000,4000000,0.0001,1500,99.611664
1,4,-10000,4000000,0.0001,1500,49.805782
1,4,-10000,4000000,0.0001,1500,49.794044
1,4,-10000,4000000,0.0001,1500,49.80313
1,4,-10000,4000000,0.0001,1500,49.790157
1,4,-10000,4000000,0.0001,1500,49.780922
1,4,-10000,4000000,0.0001,1500,49.79732
1,8,-10000,4000000,0.0001,1500,24.891932
1,8,-10000,4000000,0.0001,1500,24.881212
1,8,-10000,4000000,0.0001,1500,24.88551
1,8,-10000,4000000,0.0001,1500,24.9162
1,8,-10000,4000000,0.0001,1500,24.899113
1,8,-10000,4000000,0.0001,1500,24.894505
1,16,-10000,4000000,0.0001,1500,12.616817
1,16,-10000,4000000,0.0001,1500,12.622396
1,16,-10000,4000000,0.0001,1500,12.624849
1,16,-10000,4000000,0.0001,1500,12.625673
1,16,-10000,4000000,0.0001,1500,12.630478
1,16,-10000,4000000,0.0001,1500,12.622594
1,32,-10000,4000000,0.0001,1500,6.3095827
1,32,-10000,4000000,0.0001,1500,6.313943
1,32,-10000,4000000,0.0001,1500,6.314687
1,32,-10000,4000000,0.0001,1500,6.3164377
1,32,-10000,4000000,0.0001,1500,6.313849
1,32,-10000,4000000,0.0001,1500,6.314072
1,48,-10000,4000000,0.0001,1500,4.2613845
1,48,-10000,4000000,0.0001,1500,4.2634897
1,48,-10000,4000000,0.0001,1500,4.2652545
1,48,-10000,4000000,0.0001,1500,4.268841
1,48,-10000,4000000,0.0001,1500,4.268428
1,48,-10000,4000000,0.0001,1500,4.2710223
1,64,-10000,4000000,0.0001,1500,3.3560004
1,64,-10000,4000000,0.0001,1500,3.3540883
1,64,-10000,4000000,0.0001,1500,3.3515503
1,64,-10000,4000000,0.0001,1500,3.3574286
1,64,-10000,4000000,0.0001,1500,3.3559687
1,64,-10000,4000000,0.0001,1500,3.3622618
1,80,-10000,4000000,0.0001,1500,2.8466516
1,80,-10000,4000000,0.0001,1500,2.851827
1,80,-10000,4000000,0.0001,1500,2.8420794
1,80,-10000,4000000,0.0001,1500,2.8443952
1,80,-10000,4000000,0.0001,1500,2.8521035
1,80,-10000,4000000,0.0001,1500,2.845164
1,96,-10000,4000000,0.0001,1500,2.4918559
1,96,-10000,4000000,0.0001,1500,2.4923887
1,96,-10000,4000000,0.0001,1500,2.508822
1,96,-10000,4000000,0.0001,1500,2.495189
1,96,-10000,4000000,0.0001,1500,2.4959493
1,96,-10000,4000000,0.0001,1500,2.4964817
1,112,-10000,4000000,0.0001,1500,2.2435987
1,112,-10000,4000000,0.0001,1500,2.2439883
1,112,-10000,4000000,0.0001,1500,2.242628
1,112,-10000,4000000,0.0001,1500,2.2498837
1,112,-10000,4000000,0.0001,1500,2.2448027
1,112,-10000,4000000,0.0001,1500,2.2471666
1,128,-10000,4000000,0.0001,1500,2.0524259
1,128,-10000,4000000,0.0001,1500,2.0483422
1,128,-10000,4000000,0.0001,1500,2.049932
1,128,-10000,4000000,0.0001,1500,2.0481324
1,128,-10000,4000000,0.0001,1500,2.0519521
1,128,-10000,4000000,0.0001,1500,2.052724
2,1,-10000,4000000,0.0001,1500,199.79446
2,1,-10000,4000000,0.0001,1500,199.7741
2,1,-10000,4000000,0.0001,1500,199.6651
2,1,-10000,4000000,0.0001,1500,199.66386
2,1,-10000,4000000,0.0001,1500,199.71106
2,1,-10000,4000000,0.0001,1500,199.74957
2,2,-10000,4000000,0.0001,1500,99.88419
2,2,-10000,4000000,0.0001,1500,99.7442
2,2,-10000,4000000,0.0001,1500,99.73094
2,2,-10000,4000000,0.0001,1500,99.734024
2,2,-10000,4000000,0.0001,1500,99.70699
2,2,-10000,4000000,0.0001,1500,99.75834
2,4,-10000,4000000,0.0001,1500,49.87431
2,4,-10000,4000000,0.0001,1500,49.843597
2,4,-10000,4000000,0.0001,1500,49.87601
2,4,-10000,4000000,0.0001,1500,49.865326
2,4,-10000,4000000,0.0001,1500,49.86524
2,4,-10000,4000000,0.0001,1500,50.022415
2,8,-10000,4000000,0.0001,1500,24.937078
2,8,-10000,4000000,0.0001,1500,24.934168
2,8,-10000,4000000,0.0001,1500,24.928898
2,8,-10000,4000000,0.0001,1500,24.939026
2,8,-10000,4000000,0.0001,1500,24.936443
2,8,-10000,4000000,0.0001,1500,24.913458
2,16,-10000,4000000,0.0001,1500,12.651294
2,16,-10000,4000000,0.0001,1500,12.660467
2,16,-10000,4000000,0.0001,1500,12.650295
2,16,-10000,4000000,0.0001,1500,12.646094
2,16,-10000,4000000,0.0001,1500,12.654403
2,16,-10000,4000000,0.0001,1500,12.647198
2,32,-10000,4000000,0.0001,1500,6.3191547
2,32,-10000,4000000,0.0001,1500,6.3300514
2,32,-10000,4000000,0.0001,1500,6.3272634
2,32,-10000,4000000,0.0001,1500,6.3265696
2,32,-10000,4000000,0.0001,1500,6.327583
2,32,-10000,4000000,0.0001,1500,6.3250046
2,48,-10000,4000000,0.0001,1500,4.2679496
2,48,-10000,4000000,0.0001,1500,4.267898
2,48,-10000,4000000,0.0001,1500,4.270184
2,48,-10000,4000000,0.0001,1500,4.2674894
2,48,-10000,4000000,0.0001,1500,4.269083
2,48,-10000,4000000,0.0001,1500,4.2675843
2,64,-10000,4000000,0.0001,1500,3.3451772
2,64,-10000,4000000,0.0001,1500,3.3509207
2,64,-10000,4000000,0.0001,1500,3.357225
2,64,-10000,4000000,0.0001,1500,3.3524423
2,64,-10000,4000000,0.0001,1500,3.3595233
2,64,-10000,4000000,0.0001,1500,3.3523185
2,80,-10000,4000000,0.0001,1500,2.845426
2,80,-10000,4000000,0.0001,1500,2.8434217
2,80,-10000,4000000,0.0001,1500,2.8469715
2,80,-10000,4000000,0.0001,1500,2.8539243
2,80,-10000,4000000,0.0001,1500,2.85313
2,80,-10000,4000000,0.0001,1500,2.876434
2,96,-10000,4000000,0.0001,1500,2.4942675
2,96,-10000,4000000,0.0001,1500,2.4931173
2,96,-10000,4000000,0.0001,1500,2.4933836
2,96,-10000,4000000,0.0001,1500,2.4901285
2,96,-10000,4000000,0.0001,1500,2.4900744
2,96,-10000,4000000,0.0001,1500,2.488379
2,112,-10000,4000000,0.0001,1500,2.2383494
2,112,-10000,4000000,0.0001,1500,2.2358232
2,112,-10000,4000000,0.0001,1500,2.2334151
2,112,-10000,4000000,0.0001,1500,2.2408526
2,112,-10000,4000000,0.0001,1500,2.2387915
2,112,-10000,4000000,0.0001,1500,2.240039
2,128,-10000,4000000,0.0001,1500,2.0490825
2,128,-10000,4000000,0.0001,1500,2.0506818
2,128,-10000,4000000,0.0001,1500,2.0506456
2,128,-10000,4000000,0.0001,1500,2.0463548
2,128,-10000,4000000,0.0001,1500,2.0492449
2,128,-10000,4000000,0.0001,1500,2.048509
7,1,-10000,4000000,0.0001,1500,199.89278
7,1,-10000,4000000,0.0001,1500,199.57362
7,1,-10000,4000000,0.0001,1500,199.36874
7,1,-10000,4000000,0.0001,1500,199.33351
7,1,-10000,4000000,0.0001,1500,199.61362
7,1,-10000,4000000,0.0001,1500,199.37708
10,1,-10000.000000,4000000.000000,0.000100,0,208.720922436
10,1,-10000.000000,4000000.000000,0.000100,0,208.763329015
10,1,-10000.000000,4000000.000000,0.000100,0,208.795176282
10,1,-10000.000000,4000000.000000,0.000100,0,208.761936716
10,1,-10000.000000,4000000.000000,0.000100,0,208.784257977
10,1,-10000.000000,4000000.000000,0.000100,0,208.678681619
11,1,-10000.000000,4000000.000000,0.000100,1500.000000,208.822133279
11,1,-10000.000000,4000000.000000,0.000100,1500.000000,208.875929853
11,1,-10000.000000,4000000.000000,0.000100,1500.000000,208.714485928
11,1,-10000.000000,4000000.000000,0.000100,1500.000000,208.705295122
11,1,-10000.000000,4000000.000000,0.000100,1500.000000,208.664575536
11,1,-10000.000000,4000000.000000,0.000100,1500.000000,208.671095902
11,2,-10000.000000,4000000.000000,0.000100,1500.000000,106.437784413
11,2,-10000.000000,4000000.000000,0.000100,1500.000000,106.464197412
11,2,-10000.000000,4000000.000000,0.000100,1500.000000,106.455675277
11,2,-10000.000000,4000000.000000,0.000100,1500.000000,106.461893134
11,2,-10000.000000,4000000.000000,0.000100,1500.000000,106.459741647
11,2,-10000.000000,4000000.000000,0.000100,1500.000000,106.476428306
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.206448508
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.219102015
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.203246051
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.200524309
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.206117578
11,4,-10000.000000,4000000.000000,0.000100,1500.000000,53.207026565
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.606355287
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.600959575
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.609112419
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.603479061
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.599212714
11,8,-10000.000000,4000000.000000,0.000100,1500.000000,26.603906274
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.498131130
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.492224930
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.490420805
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.486201385
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.488594338
11,16,-10000.000000,4000000.000000,0.000100,1500.000000,13.492980533
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.745213837
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.751804788
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.752378876
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.750734866
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.751035946
11,32,-10000.000000,4000000.000000,0.000100,1500.000000,6.753227042
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.550860808
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.557513402
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.565599549
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.556303605
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.556725888
11,48,-10000.000000,4000000.000000,0.000100,1500.000000,4.556674646
11,64,-10000.000000,4000000.000000,0.000100,1500.000000,3.563105741
