version,num_workers,bucket_size,spawn_threshold,total_time,tree_time,forces_time,bodies_time
-1,1,4,0,162.77132,18.863064,141.18741,0.24794035
-1,1,4,0,163.56804,18.934713,141.90138,0.24751629
-1,1,4,0,164.56429,19.223963,142.56268,0.24649324
-1,1,4,0,164.23839,19.169838,142.31403,0.24679424
-1,1,4,0,163.98148,19.197432,142.01,0.24666251
-1,1,4,0,164.43303,19.300201,142.36482,0.24645554
0,1,0,0,145.0043,13.153848,129.9725,0.07599384
0,1,0,0,144.94556,13.107085,129.95753,0.07900458
0,1,0,0,144.75906,13.134279,129.74263,0.075926214
0,1,0,0,144.77682,13.105666,129.7881,0.07618697
0,1,0,0,144.63908,13.099827,129.63635,0.0761208
0,1,0,0,144.72467,13.124281,129.67032,0.07627403
1,1,4,500,165.5995,19.347046,143.2494,0.2543107
1,1,4,500,165.7488,19.386795,143.46562,0.25402683
1,1,4,500,164.99026,19.278755,142.78539,0.2547038
1,1,4,500,166.1778,19.330256,143.91171,0.25392848
1,1,4,500,166.78198,19.881376,143.86346,0.25696278
1,1,4,500,165.81807,19.645807,143.18475,0.25497162
1,2,4,500,95.25617,19.37266,72.93641,0.25525483
1,2,4,500,95.450966,19.511152,73.043976,0.2547937
1,2,4,500,95.13747,19.409397,72.781944,0.25373697
1,2,4,500,95.53899,19.501795,73.05137,0.25393078
1,2,4,500,95.558464,19.636953,72.99317,0.2542847
1,2,4,500,95.31857,19.456366,72.91419,0.25407204
1,4,4,500,63.745857,19.720665,41.127106,0.25536215
1,4,4,500,65.14199,19.608038,42.63287,0.2536163
1,4,4,500,59.695675,19.659765,37.042694,0.254115
1,4,4,500,60.852673,19.626728,38.230408,0.25408316
1,4,4,500,64.57049,19.49548,42.202248,0.25489944
1,4,4,500,67.65058,19.69032,45.029392,0.25452575
1,8,4,500,44.974457,19.561981,22.469196,0.25694105
1,8,4,500,44.225307,20.637987,20.354122,0.25924036
1,8,4,500,45.20399,19.841707,22.366531,0.25767788
1,8,4,500,43.72367,19.713043,21.029308,0.25761577
1,8,4,500,44.718204,19.64186,22.070692,0.25816438
1,8,4,500,44.157715,19.571823,21.613972,0.25827366
1,16,4,500,34.699066,19.645912,12.066431,0.25937223
1,16,4,500,34.78537,19.661985,12.043278,0.26014793
1,16,4,500,35.122772,19.657652,12.491411,0.25957486
1,16,4,500,35.21123,19.832638,12.415994,0.26112312
1,16,4,500,36.301476,20.340017,12.964644,0.2615781
1,16,4,500,36.596317,20.661135,12.847131,0.26265857
1,32,4,500,46.05492,25.777306,15.0419,0.28856754
1,32,4,500,43.54371,25.585232,12.621988,0.28859815
1,32,4,500,42.375355,24.855497,12.424938,0.28788903
1,32,4,500,43.054287,25.275473,12.540722,0.2897327
1,32,4,500,43.540092,23.632978,15.134884,0.28450727
1,32,4,500,43.34286,23.841944,14.661651,0.28873807
1,48,4,500,46.696415,26.58509,14.610349,0.29293525
1,48,4,500,47.26574,28.805077,12.689789,0.29198518
1,48,4,500,46.618282,25.350248,16.088295,0.29783988
1,48,4,500,45.930298,27.679544,12.44962,0.29277164
1,48,4,500,49.943287,27.422579,16.917252,0.30064064
1,48,4,500,51.188744,28.69933,16.49948,0.2955947
1,64,4,500,54.535755,31.852758,15.78696,0.29556522
1,64,4,500,53.85643,30.083122,17.196291,0.30199468
1,64,4,500,50.106182,31.208513,12.089861,0.29770783
1,64,4,500,53.579247,34.10516,12.370444,0.2969362
1,64,4,500,53.224724,33.676144,12.55227,0.30128235
1,64,4,500,56.40226,34.065052,15.315468,0.3010056
1,80,4,500,55.95573,34.931633,13.709924,0.29960147
1,80,4,500,58.067135,35.64908,14.969358,0.30661485
1,80,4,500,57.449173,36.470913,13.5035715,0.30465537
1,80,4,500,58.463303,36.073692,14.853529,0.3019845
1,80,4,500,58.840454,37.27187,14.07662,0.29943985
1,80,4,500,57.0973,36.63827,12.930494,0.30307788
1,96,4,500,60.39831,33.083256,19.821638,0.30488262
1,96,4,500,61.941177,35.979027,18.461008,0.3027315
1,96,4,500,62.644222,36.285076,18.764484,0.30009648
1,96,4,500,59.96193,36.485252,15.945861,0.296747
1,96,4,500,57.527943,35.06936,14.76587,0.30090466
1,96,4,500,58.403614,34.41606,16.475096,0.3003641
1,112,4,500,64.73494,36.614628,20.478806,0.30179974
1,112,4,500,60.619003,36.830746,16.042673,0.2910776
1,112,4,500,59.40808,34.81068,16.820185,0.29813752
1,112,4,500,61.78493,34.43581,19.69801,0.30158043
1,112,4,500,63.203896,36.472866,19.068897,0.30042574
1,112,4,500,61.475475,37.196537,16.493332,0.3105079
1,128,4,500,63.300423,37.00313,18.62343,0.30418354
1,128,4,500,56.560226,35.259426,13.630348,0.30378792
1,128,4,500,60.081112,37.67538,14.771701,0.30158633
1,128,4,500,61.35323,37.024723,16.760036,0.3025872
1,128,4,500,64.034546,37.707027,18.588886,0.30362052
1,128,4,500,59.642876,37.60182,14.397965,0.3017053
5,1,4,500,165.2951,19.546293,142.753,0.25836226
5,1,4,500,165.49162,19.900537,142.53848,0.25573736
5,1,4,500,165.46455,19.763878,142.58495,0.25521496
5,1,4,500,164.87447,19.535385,142.23578,0.255697
5,1,4,500,166.17133,19.79875,143.41293,0.25486
5,1,4,500,165.45024,19.633234,142.82323,0.25604516
5,2,4,500,94.52571,19.658945,71.81036,0.25559318
5,2,4,500,94.17661,19.545815,71.60125,0.25617754
5,2,4,500,94.14924,19.52139,71.57462,0.25555158
5,2,4,500,94.33956,19.63645,71.717766,0.25515944
5,2,4,500,94.42035,19.593798,71.803444,0.2555213
5,2,4,500,94.41342,19.893576,71.50728,0.25478047
5,4,4,500,58.575695,19.970547,35.65589,0.25753468
5,4,4,500,58.549583,19.879992,35.684624,0.25440896
5,4,4,500,58.724113,20.026987,35.736904,0.2545657
5,4,4,500,58.56623,19.872519,35.69543,0.25450465
5,4,4,500,58.520245,19.86672,35.67698,0.25553995
5,4,4,500,58.727364,20.167395,35.642254,0.25525156
5,8,4,500,41.259785,20.394192,17.83267,0.25737062
5,8,4,500,40.87213,19.999704,17.860256,0.25792816
5,8,4,500,40.89399,20.000425,17.872396,0.2584204
5,8,4,500,40.876694,20.029146,17.840044,0.25822985
5,8,4,500,41.005783,20.081705,17.79847,0.25741863
5,8,4,500,41.034595,20.195965,17.818151,0.2593367
5,16,4,500,32.356533,20.494394,9.030974,0.26447618
5,16,4,500,32.619892,20.802656,9.022073,0.26342654
5,16,4,500,32.628956,20.727694,9.019665,0.2643048
5,16,4,500,32.62535,20.859848,9.029097,0.26255834
5,16,4,500,32.54248,20.754738,9.007398,0.26372704
5,16,4,500,32.51185,20.759138,9.027177,0.26362824
5,32,4,500,33.24064,23.250547,4.6323214,0.3022325
5,32,4,500,33.488758,23.396803,4.6364017,0.30275196
5,32,4,500,33.441757,23.404366,4.6422586,0.29874295
5,32,4,500,33.464436,23.475857,4.6322103,0.30098507
5,32,4,500,33.358673,23.374617,4.645208,0.30077988
5,32,4,500,34.060993,23.862118,4.632989,0.30661947
5,48,4,500,33.76222,24.5544,3.1315064,0.32377586
5,48,4,500,33.699047,24.526876,3.12814,0.31472653
5,48,4,500,33.93724,24.973484,3.1240263,0.30537906
5,48,4,500,35.039852,25.617245,3.1318088,0.3246569
5,48,4,500,33.436382,24.452822,3.1239874,0.3140636
5,48,4,500,34.05456,24.890623,3.1260626,0.31672883
5,64,4,500,34.69774,25.926996,2.423149,0.3162645
5,64,4,500,35.129242,26.070478,2.4338346,0.3185152
5,64,4,500,33.660244,25.015104,2.4449487,0.31352252
5,64,4,500,34.267796,25.547823,2.424991,0.3131499
5,64,4,500,34.269726,25.438927,2.4357088,0.3165795
5,64,4,500,33.542416,24.852142,2.4278574,0.32164684
5,80,4,500,35.37035,26.54243,2.1011505,0.32451567
5,80,4,500,35.007515,26.1899,2.1067488,0.31911707
5,80,4,500,35.333153,26.663565,2.0874147,0.31286675
5,80,4,500,34.599575,25.971289,2.103335,0.31284827
5,80,4,500,35.883194,26.848755,2.0989375,0.31850645
5,80,4,500,35.87909,26.938873,2.110147,0.32128483
5,96,4,500,35.196022,26.41892,1.840543,0.31545123
