version,num_workers,n,threshold,time_secs
0,1,52,0,139.6517
0,1,52,0,138.53049
0,1,52,0,138.6903
0,1,52,0,138.1548
0,1,52,0,138.18767
0,1,52,0,138.01817
2,1,52,25,141.3368
2,1,52,25,138.38248
2,1,52,25,141.29047
2,1,52,25,138.46664
2,1,52,25,138.15105
2,1,52,25,138.15367
7,1,52,25,136.69186
7,1,52,25,138.52339
7,1,52,25,137.94992
7,1,52,25,139.8091
7,1,52,25,140.78226
7,1,52,25,137.78143
8,1,52,-1,3227.0398
8,1,52,-1,3213.2378
8,1,52,-1,3207.4204
8,1,52,-1,3203.6943
8,1,52,-1,3217.1326
8,1,52,-1,3200.902
3,1,52,-1,1781.9495
3,1,52,-1,1778.4357
3,1,52,-1,1778.4667
3,1,52,-1,1778.1841
3,1,52,-1,1759.5248
3,1,52,-1,1795.9666
