version,num_workers,depth,dim,time_secs
-1,1,7,64,193.52626
-1,1,7,64,193.60345
-1,1,7,64,193.60315
-1,1,7,64,193.64726
-1,1,7,64,193.58234
-1,1,7,64,193.59059
-2,1,7,64,137.86478
-2,1,7,64,138.41133
-2,1,7,64,137.73706
-2,1,7,64,137.96439
-2,1,7,64,139.12085
-2,1,7,64,139.01672
0,1,7,64,183.78719
0,1,7,64,183.75943
0,1,7,64,183.77899
0,1,7,64,184.06628
0,1,7,64,183.81055
0,1,7,64,183.90706
-3,1,7,64,124.79748
-3,1,7,64,124.67665
-3,1,7,64,125.25759
-3,1,7,64,124.793884
-3,1,7,64,125.78829
-3,1,7,64,125.30685
7,1,7,64,194.42007
7,1,7,64,194.53928
7,1,7,64,194.57323
7,1,7,64,195.62645
7,1,7,64,194.7839
7,1,7,64,195.57306
8,1,7,64,139.3138
8,1,7,64,140.14592
8,1,7,64,138.63716
8,1,7,64,139.0836
8,1,7,64,139.33543
8,1,7,64,140.63515
1,1,7,64,194.52397
1,1,7,64,194.42703
1,1,7,64,194.54463
1,1,7,64,194.60367
1,1,7,64,194.5846
1,1,7,64,194.45618
1,2,7,64,121.23958
1,2,7,64,120.29555
1,2,7,64,119.801285
1,2,7,64,119.48435
1,2,7,64,118.58339
1,2,7,64,118.26919
1,4,7,64,60.42867
1,4,7,64,50.92701
1,4,7,64,50.31823
1,4,7,64,61.099743
1,4,7,64,50.42313
1,4,7,64,50.058346
1,8,7,64,36.42506
1,8,7,64,29.242796
1,8,7,64,27.545698
1,8,7,64,25.88934
1,8,7,64,25.59398
1,8,7,64,25.753162
1,16,7,64,13.189826
1,16,7,64,13.147829
1,16,7,64,13.166333
1,16,7,64,13.230485
1,16,7,64,12.942602
1,16,7,64,13.726549
1,32,7,64,7.0742965
1,32,7,64,6.676941
1,32,7,64,6.7281556
1,32,7,64,6.616075
1,32,7,64,6.5294466
1,32,7,64,6.774625
1,48,7,64,4.7221746
1,48,7,64,4.7076273
1,48,7,64,4.7231193
1,48,7,64,4.647801
1,48,7,64,4.7596045
1,48,7,64,4.672411
1,64,7,64,3.7996156
1,64,7,64,3.8491778
1,64,7,64,3.779983
1,64,7,64,3.7641923
1,64,7,64,3.7950692
1,64,7,64,3.825275
1,80,7,64,3.253762
1,80,7,64,3.2857783
1,80,7,64,3.2459247
1,80,7,64,3.2613616
1,80,7,64,3.2734287
1,80,7,64,3.2910023
1,96,7,64,2.9065974
1,96,7,64,2.8996794
1,96,7,64,2.8989758
1,96,7,64,2.88596
1,96,7,64,2.8981965
1,96,7,64,2.9121182
1,112,7,64,2.6791906
1,112,7,64,2.6463614
1,112,7,64,2.6980193
1,112,7,64,2.6670341
1,112,7,64,2.6693
1,112,7,64,2.6218476
1,128,7,64,2.4594443
1,128,7,64,2.455043
1,128,7,64,2.447416
1,128,7,64,2.4642675
1,128,7,64,2.4583888
1,128,7,64,2.4482386
2,1,7,64,195.3525
2,1,7,64,195.0573
2,1,7,64,195.00395
2,1,7,64,195.09789
2,1,7,64,195.3184
2,1,7,64,195.10304
2,2,7,64,98.183105
2,2,7,64,98.31798
2,2,7,64,98.26828
2,2,7,64,98.33443
2,2,7,64,98.21639
2,2,7,64,98.29447
2,4,7,64,49.180332
2,4,7,64,49.185795
2,4,7,64,49.239574
2,4,7,64,49.166386
2,4,7,64,49.14302
2,4,7,64,49.151558
2,8,7,64,30.330914
2,8,7,64,24.90642
2,8,7,64,24.795834
2,8,7,64,24.819931
2,8,7,64,25.178747
2,8,7,64,25.27991
2,16,7,64,13.148401
2,16,7,64,14.1241045
2,16,7,64,12.764034
2,16,7,64,14.178455
2,16,7,64,14.339622
2,16,7,64,13.3308
2,32,7,64,6.554765
2,32,7,64,6.600389
2,32,7,64,6.5672092
2,32,7,64,6.7592564
2,32,7,64,6.6596766
2,32,7,64,6.554365
2,48,7,64,4.9096127
2,48,7,64,4.6314025
2,48,7,64,4.6891537
2,48,7,64,4.7760186
2,48,7,64,4.775471
2,48,7,64,4.6342087
2,64,7,64,3.815888
2,64,7,64,3.8483062
2,64,7,64,3.7450356
2,64,7,64,3.7726703
2,64,7,64,3.795974
2,64,7,64,3.7661595
2,80,7,64,3.3208032
2,80,7,64,3.2495604
