version,num_workers,n,threshold,time_secs
-1,1,16,6,195.18456
-1,1,16,6,193.0047
-1,1,16,6,192.1865
-1,1,16,6,192.83723
-1,1,16,6,194.97331
-1,1,16,6,194.94582
0,1,16,0,195.3776
0,1,16,0,195.33418
0,1,16,0,194.96552
0,1,16,0,194.92502
0,1,16,0,194.85445
0,1,16,0,194.92346
1,1,16,6,216.71086
1,1,16,6,216.55899
1,1,16,6,215.4029
1,1,16,6,216.5293
1,1,16,6,215.42857
1,1,16,6,215.97276
1,2,16,6,107.74686
1,2,16,6,107.77238
1,2,16,6,107.714134
1,2,16,6,107.822014
1,2,16,6,107.70681
1,2,16,6,107.8112
1,4,16,6,53.94754
1,4,16,6,53.93099
1,4,16,6,54.19734
1,4,16,6,54.197678
1,4,16,6,54.204044
1,4,16,6,53.9694
1,8,16,6,26.998236
1,8,16,6,27.119707
1,8,16,6,27.00623
1,8,16,6,27.124704
1,8,16,6,26.993837
1,8,16,6,27.130304
1,16,16,6,13.752427
1,16,16,6,13.680892
1,16,16,6,13.748043
1,16,16,6,13.685108
1,16,16,6,13.680424
1,16,16,6,13.679508
1,32,16,6,6.857589
1,32,16,6,6.827494
1,32,16,6,6.859295
1,32,16,6,6.8639216
1,32,16,6,6.8615317
1,32,16,6,6.8568525
1,48,16,6,4.616445
1,48,16,6,4.620921
1,48,16,6,4.621117
1,48,16,6,4.600805
1,48,16,6,4.6205816
1,48,16,6,4.6249547
1,64,16,6,3.4815507
1,64,16,6,3.4988942
1,64,16,6,3.4865096
1,64,16,6,3.486488
1,64,16,6,3.4931898
1,64,16,6,3.4849916
1,80,16,6,2.9600968
1,80,16,6,2.9406166
1,80,16,6,2.946683
1,80,16,6,2.9527466
1,80,16,6,2.941949
1,80,16,6,2.9410315
1,96,16,6,2.5634806
1,96,16,6,2.5713189
1,96,16,6,2.5770535
1,96,16,6,2.5676463
1,96,16,6,2.5698614
1,96,16,6,2.5743341
1,112,16,6,2.3041275
1,112,16,6,2.2961736
1,112,16,6,2.3057234
1,112,16,6,2.2956781
1,112,16,6,2.3009207
1,112,16,6,2.295357
1,128,16,6,2.0999167
1,128,16,6,2.1017303
1,128,16,6,2.1015375
1,128,16,6,2.0974717
1,128,16,6,2.101016
1,128,16,6,2.0948434
2,1,16,6,191.30646
2,1,16,6,191.57924
2,1,16,6,191.1915
2,1,16,6,191.14725
2,1,16,6,191.13315
2,1,16,6,191.22917
2,2,16,6,95.40052
2,2,16,6,95.407776
2,2,16,6,95.42573
2,2,16,6,95.51957
2,2,16,6,95.51271
2,2,16,6,95.540054
2,4,16,6,47.97885
2,4,16,6,47.993114
2,4,16,6,48.005104
2,4,16,6,48.01229
2,4,16,6,48.016785
2,4,16,6,48.01021
2,8,16,6,24.076551
2,8,16,6,24.096775
2,8,16,6,24.087536
2,8,16,6,24.11585
2,8,16,6,24.077995
2,8,16,6,24.107077
2,16,16,6,12.19906
2,16,16,6,12.190707
2,16,16,6,12.203968
2,16,16,6,12.188818
2,16,16,6,12.17798
2,16,16,6,12.183678
2,32,16,6,6.0873027
2,32,16,6,6.089176
2,32,16,6,6.0980124
2,32,16,6,6.0953875
2,32,16,6,6.099164
2,32,16,6,6.1069393
2,48,16,6,4.0945706
2,48,16,6,4.1165733
2,48,16,6,4.1094
2,48,16,6,4.1188407
2,48,16,6,4.1141257
2,48,16,6,4.1166515
2,64,16,6,3.0998843
2,64,16,6,3.1127458
2,64,16,6,3.1065416
2,64,16,6,3.113015
2,64,16,6,3.111916
2,64,16,6,3.098436
2,80,16,6,2.5836487
2,80,16,6,2.5789108
2,80,16,6,2.581231
2,80,16,6,2.5836267
2,80,16,6,2.5730267
2,80,16,6,2.5762088
2,96,16,6,2.2319603
2,96,16,6,2.2526717
2,96,16,6,2.2376866
2,96,16,6,2.2379498
2,96,16,6,2.2401693
2,96,16,6,2.2366211
2,112,16,6,2.00249
2,112,16,6,2.003201
2,112,16,6,1.9955881
2,112,16,6,2.009555
2,112,16,6,2.0053904
2,112,16,6,2.0056977
2,128,16,6,1.8207741
2,128,16,6,1.8243403
2,128,16,6,1.8270167
2,128,16,6,1.8210886
2,128,16,6,1.822063
2,128,16,6,1.8289585
7,1,16,6,194.51376
7,1,16,6,192.66527
7,1,16,6,194.04553
7,1,16,6,194.92679
7,1,16,6,195.34575
7,1,16,6,195.32979
10,1,16,0,191.475377391
10,1,16,0,191.360345001
10,1,16,0,191.292657338
10,1,16,0,191.365258942
10,1,16,0,191.362426215
10,1,16,0,191.325963239
11,1,16,6,203.044639294
11,1,16,6,203.130797433
11,1,16,6,203.081711878
11,1,16,6,203.119598322
11,1,16,6,202.863725865
11,1,16,6,202.960332200
11,2,16,6,102.789676489
11,2,16,6,102.776342830
11,2,16,6,102.673622326
11,2,16,6,102.856507162
11,2,16,6,102.803893709
11,2,16,6,102.975093535
11,4,16,6,51.396747819
11,4,16,6,51.297138432
11,4,16,6,51.417943752
11,4,16,6,51.392342098
11,4,16,6,51.451922739
11,4,16,6,51.458725391
11,8,16,6,25.741533874
11,8,16,6,25.715698283
11,8,16,6,25.707239440
11,8,16,6,25.715971500
11,8,16,6,25.736127362
11,8,16,6,25.726332270
11,16,16,6,12.910007872
11,16,16,6,12.929936331
11,16,16,6,12.930880649
11,16,16,6,12.931740045
11,16,16,6,12.925696486
11,16,16,6,12.926390787
11,32,16,6,6.465618240
11,32,16,6,6.469097583
11,32,16,6,6.471215596
11,32,16,6,6.463726984
11,32,16,6,6.464508967
11,32,16,6,6.463232719
11,48,16,6,4.367225791
11,48,16,6,4.369040035
11,48,16,6,4.368466247
11,48,16,6,4.369915771
11,48,16,6,4.373639831
11,48,16,6,4.376356181
11,64,16,6,3.282901077
11,64,16,6,3.288295816
11,64,16,6,3.289906385
11,64,16,6,3.292989816
11,64,16,6,3.295672545
11,64,16,6,3.292130591
11,80,16,6,2.669949631
11,80,16,6,2.679437411
11,80,16,6,2.671827047
11,80,16,6,2.669116996
11,80,16,6,2.671478375
11,80,16,6,2.669486516
11,96,16,6,2.328926020
11,96,16,6,2.329350853
11,96,16,6,2.326820328
11,96,16,6,2.339485442
11,96,16,6,2.325720575
11,96,16,6,2.328165408
11,112,16,6,2.078040901
11,112,16,6,2.079287919
11,112,16,6,2.097245408
11,112,16,6,2.088985515
11,112,16,6,2.081320441
11,112,16,6,2.085156168
11,128,16,6,1.886880892
11,128,16,6,1.891752382
11,128,16,6,1.886267024
11,128,16,6,1.892181105
11,128,16,6,1.888854153
11,128,16,6,1.888239285
12,1,16,6,194.644040183
12,1,16,6,194.672835411
12,1,16,6,194.323705921
12,1,16,6,194.783006291
12,1,16,6,194.626475011
12,1,16,6,194.354563010
12,2,16,6,96.914205600
12,2,16,6,97.086992689
12,2,16,6,97.005751534
12,2,16,6,96.965886813
12,2,16,6,97.085239837
12,2,16,6,97.118166300
12,4,16,6,48.504345256
12,4,16,6,48.505868722
12,4,16,6,48.537415493
12,4,16,6,48.536511011
12,4,16,6,48.504105315
12,4,16,6,48.535022099
12,8,16,6,24.256312105
12,8,16,6,24.253208712
12,8,16,6,24.252928544
12,8,16,6,24.258302024
12,8,16,6,24.251835341
12,8,16,6,24.263564981
12,16,16,6,12.283950488
12,16,16,6,12.282165712
12,16,16,6,12.286927697
12,16,16,6,12.288143965
12,16,16,6,12.279887041
12,16,16,6,12.276821128
12,32,16,6,6.322922719
12,32,16,6,6.329805109
12,32,16,6,6.331860332
12,32,16,6,6.133690690
12,32,16,6,6.131983897
12,32,16,6,6.129388719
12,48,16,6,4.150266813
12,48,16,6,4.150054827
12,48,16,6,4.142053842
12,48,16,6,4.141051072
12,48,16,6,4.153856403
12,48,16,6,4.151345416
12,64,16,6,3.145834756
12,64,16,6,3.146236198
12,64,16,6,3.145818196
12,64,16,6,3.159078771
12,64,16,6,3.150483959
12,64,16,6,3.163611830
12,80,16,6,2.641077295
12,80,16,6,2.637936538
12,80,16,6,2.625473487
12,80,16,6,2.627518130
12,80,16,6,2.639889758
12,80,16,6,2.639039383
12,96,16,6,2.314990969
12,96,16,6,2.298920178
12,96,16,6,2.298205766
12,96,16,6,2.302224689
12,96,16,6,2.304228510
12,96,16,6,2.306098937
12,112,16,6,2.072844471
12,112,16,6,2.075361799
12,112,16,6,2.075840384
12,112,16,6,2.068426827
12,112,16,6,2.074973306
12,112,16,6,2.066825117
12,128,16,6,1.892592437
12,128,16,6,1.894230797
12,128,16,6,1.891701770
12,128,16,6,1.891706930
12,128,16,6,1.893294289
12,128,16,6,1.892404552
