thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
62,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,141079,0,29,0,0,0
26,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,141025,0,22,0,0,0
7,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,146278,0,29,0,0,0
57,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,149264,0,33,0,0,0
52,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,151533,0,27,0,0,0
33,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,140426,0,27,0,0,0
10,0,27,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,138444,0,22,0,0,0
8,0,27,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,138928,0,26,0,0,0
2,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,143986,0,29,0,0,0
4,0,23,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,137220,0,19,0,0,0
38,0,20,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,140405,0,32,0,0,0
40,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,141086,0,26,0,0,0
56,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,141194,0,30,0,0,0
53,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,144159,0,33,0,0,0
48,0,21,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,138454,0,20,0,0,0
47,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,141325,0,35,0,0,0
46,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,137003,0,38,0,0,0
13,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,144403,0,22,0,0,0
16,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,138580,0,29,0,0,0
44,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,137249,0,44,0,0,0
