thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
63,0,158,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1476,0,140,0,0,0
61,0,146,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1362,0,143,0,0,0
37,0,138,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1332,0,136,0,0,0
62,0,120,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1440,0,156,0,0,0
58,0,130,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1377,0,146,0,0,0
57,0,137,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1485,0,146,0,0,0
34,0,163,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1326,0,135,0,0,0
56,0,139,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1407,0,145,0,0,0
11,0,140,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,149,0,0,0
9,0,148,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1446,0,161,0,0,0
52,0,140,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1380,0,145,0,0,0
3,0,157,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1272,0,127,0,0,0
2,0,144,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1389,0,138,0,0,0
1,0,141,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1449,0,144,0,0,0
19,0,147,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1341,0,134,0,0,0
49,0,160,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1362,0,127,0,0,0
50,0,152,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1281,0,147,0,0,0
40,0,132,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1461,0,136,0,0,0
38,0,136,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1275,0,137,0,0,0
18,0,129,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1428,0,134,0,0,0
45,0,164,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1299,0,149,0,0,0
47,0,118,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1497,0,136,0,0,0
20,0,160,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1398,0,143,0,0,0
17,0,153,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1326,0,143,0,0,0
51,0,136,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1350,0,126,0,0,0
59,0,118,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1431,0,120,0,0,0
60,0,142,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1425,0,132,0,0,0
6,0,168,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1365,0,161,0,0,0
8,0,124,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1356,0,158,0,0,0
28,0,134,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,127,0,0,0
27,0,151,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1365,0,140,0,0,0
5,0,158,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1380,0,152,0,0,0
7,0,127,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1353,0,115,0,0,0
26,0,128,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1410,0,147,0,0,0
21,0,125,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1389,0,116,0,0,0
23,0,126,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1539,0,134,0,0,0
24,0,148,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1335,0,153,0,0,0
15,0,109,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1470,0,124,0,0,0
10,0,142,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1437,0,157,0,0,0
43,0,139,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1389,0,154,0,0,0
13,0,130,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1365,0,170,0,0,0
41,0,154,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1374,0,127,0,0,0
32,0,128,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1371,0,157,0,0,0
31,0,124,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1338,0,143,0,0,0
29,0,138,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1425,0,131,0,0,0
30,0,136,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1332,0,120,0,0,0
44,0,143,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1335,0,150,0,0,0
54,0,130,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1398,0,144,0,0,0
48,0,135,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1437,0,134,0,0,0
55,0,132,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1329,0,119,0,0,0
35,0,148,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1404,0,164,0,0,0
36,0,124,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1356,0,153,0,0,0
12,0,147,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1449,0,143,0,0,0
53,0,156,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1320,0,131,0,0,0
16,0,119,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1353,0,137,0,0,0
22,0,144,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1395,0,135,0,0,0
46,0,136,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1377,0,142,0,0,0
25,0,125,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1440,0,137,0,0,0
33,0,122,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1350,0,127,0,0,0
42,0,129,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1425,0,124,0,0,0
14,0,143,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1320,0,128,0,0,0
4,0,159,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1365,0,136,0,0,0
39,0,134,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1320,0,124,0,0,0
0,0,185,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,1314,0,159,0,0,0
