thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
62,0,22,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12938,0,17,0,0,0
60,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12898,0,30,0,0,0
58,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12890,0,33,0,0,0
34,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12847,0,31,0,0,0
57,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12931,0,31,0,0,0
40,0,20,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13009,0,22,0,0,0
53,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12664,0,28,0,0,0
17,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13120,0,20,0,0,0
38,0,15,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12864,0,18,0,0,0
50,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13180,0,30,0,0,0
52,0,27,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12971,0,26,0,0,0
7,0,29,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13016,0,33,0,0,0
56,0,20,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12712,0,28,0,0,0
21,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13145,0,27,0,0,0
33,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12955,0,25,0,0,0
36,0,23,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12761,0,22,0,0,0
4,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13098,0,33,0,0,0
1,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13012,0,23,0,0,0
2,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13209,0,28,0,0,0
22,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12976,0,21,0,0,0
42,0,21,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12924,0,30,0,0,0
6,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13165,0,22,0,0,0
19,0,29,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12983,0,17,0,0,0
51,0,16,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12755,0,23,0,0,0
37,0,21,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12948,0,29,0,0,0
45,0,22,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12882,0,21,0,0,0
47,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13042,0,20,0,0,0
43,0,27,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12987,0,26,0,0,0
61,0,20,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12883,0,21,0,0,0
5,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13156,0,16,0,0,0
23,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13172,0,27,0,0,0
24,0,22,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13033,0,25,0,0,0
14,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13115,0,24,0,0,0
15,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13075,0,30,0,0,0
35,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12963,0,28,0,0,0
3,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13166,0,27,0,0,0
41,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12910,0,42,0,0,0
11,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13132,0,27,0,0,0
9,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12794,0,25,0,0,0
31,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13110,0,30,0,0,0
32,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13169,0,25,0,0,0
55,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12840,0,18,0,0,0
12,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13108,0,29,0,0,0
48,0,20,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12933,0,23,0,0,0
27,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13124,0,28,0,0,0
26,0,32,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13155,0,32,0,0,0
13,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13096,0,29,0,0,0
28,0,22,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13101,0,26,0,0,0
54,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,12914,0,22,0,0,0
8,0,16,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,13166,0,23,0,0,0
