thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
5,0,60,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33292,0,52,0,0,0
6,0,47,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32305,0,26,0,0,0
48,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33138,0,40,0,0,0
57,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33117,0,35,0,0,0
60,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33082,0,49,0,0,0
28,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32445,0,42,0,0,0
18,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,31465,0,35,0,0,0
20,0,45,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33348,0,46,0,0,0
55,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33271,0,41,0,0,0
9,0,53,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,31906,0,36,0,0,0
58,0,45,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32914,0,37,0,0,0
37,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32984,0,38,0,0,0
52,0,44,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32725,0,41,0,0,0
53,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33145,0,36,0,0,0
39,0,31,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32907,0,50,0,0,0
40,0,30,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32088,0,32,0,0,0
24,0,44,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33264,0,43,0,0,0
14,0,47,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,32921,0,40,0,0,0
54,0,24,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,31871,0,27,0,0,0
27,0,48,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,31451,0,47,0,0,0
17,0,51,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33089,0,48,0,0,0
