thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
41,0,65,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,66293,0,46,0,0,0
44,0,28,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,69942,0,44,0,0,0
8,0,48,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,80536,0,50,0,0,0
27,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,70192,0,34,0,0,0
25,0,56,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,82886,0,41,0,0,0
38,0,51,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,65395,0,45,0,0,0
37,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,101390,0,41,0,0,0
17,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,66191,0,43,0,0,0
18,0,42,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,67079,0,39,0,0,0
56,0,48,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,78903,0,40,0,0,0
62,0,59,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,88144,0,38,0,0,0
59,0,12,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,65182,0,44,0,0,0
57,0,22,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,127511,0,41,0,0,0
60,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,62382,0,37,0,0,0
9,0,60,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,72140,0,34,0,0,0
39,0,49,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,69613,0,46,0,0,0
40,0,13,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,89459,0,34,0,0,0
1,0,50,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,81958,0,38,0,0,0
53,0,26,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,106892,0,42,0,0,0
29,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,88018,0,38,0,0,0
