thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
55,0,81,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,105,0,64,0,0,0
53,0,86,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,110,0,80,0,0,0
54,0,79,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,126,0,95,0,0,0
2,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,62,0,45,0,0,0
34,0,70,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,93,0,66,0,0,0
35,0,70,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,103,0,79,0,0,0
14,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,40,0,22,0,0,0
1,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,74,0,53,0,0,0
3,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,76,0,63,0,0,0
42,0,75,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,102,0,72,0,0,0
52,0,85,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,109,0,77,0,0,0
15,0,33,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,48,0,32,0,0,0
40,0,74,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,80,0,53,0,0,0
37,0,79,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,78,0,58,0,0,0
39,0,74,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,101,0,72,0,0,0
38,0,77,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,83,0,63,0,0,0
16,0,32,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,60,0,47,0,0,0
25,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,49,0,37,0,0,0
26,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,53,0,36,0,0,0
27,0,34,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,47,0,33,0,0,0
33,0,75,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,89,0,69,0,0,0
61,0,84,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,118,0,83,0,0,0
62,0,84,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,88,0,58,0,0,0
63,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,113,0,78,0,0,0
10,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,55,0,37,0,0,0
9,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,57,0,45,0,0,0
11,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,65,0,46,0,0,0
46,0,76,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,74,0,50,0,0,0
5,0,38,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,63,0,53,0,0,0
59,0,76,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,117,0,77,0,0,0
57,0,85,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,98,0,68,0,0,0
58,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,101,0,69,0,0,0
60,0,81,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,108,0,74,0,0,0
41,0,70,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,105,0,72,0,0,0
23,0,40,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,59,0,44,0,0,0
