thread_id,total_steal_attempts,successful_steals,attempts_before_first_success,work_time,steal_setup_time,steal_waiting,pop_waiting,pop_waiting_other,push_waiting,push_waiting_other,other_time,spawns,spawns_other,total_stolen_jobs,total_stolen_jobs_other,sync_loop_iters,sync_loop_iters_other
45,0,89,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,150351,0,80,0,0,0
26,0,67,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,99964,0,52,0,0,0
40,0,94,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,118486,0,71,0,0,0
18,0,77,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,62074,0,64,0,0,0
23,0,47,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,93203,0,81,0,0,0
10,0,35,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,118595,0,66,0,0,0
34,0,106,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,180229,0,83,0,0,0
21,0,87,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,168097,0,86,0,0,0
33,0,87,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,109890,0,70,0,0,0
39,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,142268,0,72,0,0,0
1,0,69,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,184355,0,81,0,0,0
42,0,85,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,135452,0,70,0,0,0
29,0,32,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,72126,0,79,0,0,0
22,0,120,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,111190,0,83,0,0,0
25,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,136269,0,88,0,0,0
19,0,104,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,160025,0,66,0,0,0
11,0,166,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,155441,0,79,0,0,0
56,0,43,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,92568,0,83,0,0,0
47,0,64,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,56523,0,87,0,0,0
16,0,41,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,33175,0,75,0,0,0
54,0,74,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,110855,0,106,0,0,0
36,0,115,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,146114,0,76,0,0,0
46,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,155112,0,91,0,0,0
59,0,10,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,27598,0,81,0,0,0
14,0,108,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,164998,0,83,0,0,0
35,0,107,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,162123,0,77,0,0,0
55,0,65,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,137151,0,74,0,0,0
4,0,25,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,96082,0,72,0,0,0
27,0,105,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,190996,0,83,0,0,0
28,0,89,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,127934,0,98,0,0,0
32,0,70,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,108382,0,82,0,0,0
3,0,50,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,106285,0,81,0,0,0
2,0,37,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,118922,0,85,0,0,0
52,0,49,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,170258,0,83,0,0,0
58,0,73,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,63181,0,87,0,0,0
60,0,71,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,54311,0,69,0,0,0
9,0,129,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,228312,0,102,0,0,0
50,0,60,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,85046,0,87,0,0,0
17,0,36,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,40585,0,73,0,0,0
37,0,88,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,154435,0,80,0,0,0
5,0,92,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,257126,0,79,0,0,0
7,0,86,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,72362,0,70,0,0,0
20,0,67,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,100355,0,87,0,0,0
48,0,120,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,198855,0,74,0,0,0
6,0,136,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,175132,0,94,0,0,0
13,0,54,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,123728,0,84,0,0,0
62,0,73,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,149288,0,70,0,0,0
63,0,63,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,83422,0,87,0,0,0
61,0,70,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,28622,0,65,0,0,0
30,0,72,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,42797,0,71,0,0,0
15,0,126,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,220200,0,88,0,0,0
12,0,39,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,40390,0,93,0,0,0
53,0,104,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,140869,0,81,0,0,0
41,0,77,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,109526,0,71,0,0,0
43,0,95,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,154658,0,96,0,0,0
44,0,83,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,226120,0,88,0,0,0
51,0,97,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,191092,0,93,0,0,0
49,0,128,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,222595,0,72,0,0,0
57,0,121,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,96684,0,90,0,0,0
24,0,147,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,206620,0,83,0,0,0
38,0,91,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,128427,0,80,0,0,0
8,0,135,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,155255,0,65,0,0,0
31,0,115,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,146415,0,86,0,0,0
0,0,5,0,0ns,0ns,0ns,0ns,0ns,0ns,0ns,0ns,9167,0,82,0,0,0
